Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
Lufthansa,6:10 am , 8:15 pm,15h 05m,$302,1 stop,10h 20m,MUC,Munich Franz Josef Strauss,Momondo
Multiple airlines,5:55 pm ," 7:05 am
+1",15h 10m,$254,2 stops,"2h 55m, 6h 40m","CPH, BCN","Kastrup Copenhagen, Barcelona-El Prat",Momondo
Lufthansa,11:25 am , 6:20 pm,7h 55m,$536,2 stops,"1h 30m, 0h 50m","ARN, FRA","Stockholm Arlanda, Frankfurt am Main",Momondo
Austrian Airlines,7:00 am , 7:10 pm,13h 10m,$382,2 stops,"2h 10m, 5h 15m","CPH, VIE","Kastrup Copenhagen, Vienna Intl",Momondo
"Ryanair, Iberia Express",11:20 pm ," 12:50 pm
+1",15h 30m,$241,2 stops,"6h 55m, 1h 35m","WMI, MAD","Warsaw Modlin, Madrid Barajas",Momondo
"KLM, Ryanair",6:10 pm ," 7:05 am
+1",14h 55m,$260,2 stops,"0h 55m, 8h 25m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Momondo
"Ryanair, Lufthansa",11:20 pm ," 10:55 am
+1",13h 35m,$275,2 stops,"7h 00m, 1h 05m","WMI-WAW, MUC","Airport change WMI-WAW, Munich Franz Josef Strauss",Momondo
"Ryanair, Iberia",10:50 pm ," 12:50 pm
+1",16h 00m,$232,2 stops,"7h 10m, 1h 55m","STN, MAD","London Stansted, Madrid Barajas",Momondo
"Ryanair, Iberia",11:20 pm ," 12:50 pm
+1",15h 30m,$247,2 stops,"6h 55m, 1h 35m","WMI, MAD","Warsaw Modlin, Madrid Barajas",Momondo
Air Europa,7:00 am , 6:25 pm,12h 25m,$419,2 stops,"0h 55m, 5h 00m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"4h 15m, 3h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"6h 15m, 1h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"2h 15m, 5h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Austrian Airlines,6:10 am , 5:05 pm,11h 55m,$420,2 stops,"3h 55m, 2h 05m","MUC, VIE","Munich Franz Josef Strauss, Vienna Intl",Momondo
"KLM, Vueling",6:10 pm ," 8:05 am
+1",15h 55m,$252,2 stops,"0h 55m, 9h 30m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Momondo
Multiple airlines,11:20 pm ," 1:15 pm
+1",15h 55m,$255,2 stops,"8h 30m, 1h 20m","WMI-WAW, DUS","Airport change WMI-WAW, Duesseldorf Intl",Momondo
Lufthansa,11:25 am , 8:15 pm,9h 50m,$528,2 stops,"3h 25m, 0h 45m","ARN, MUC","Stockholm Arlanda, Munich Franz Josef Strauss",Momondo
Lufthansa,11:15 am , 8:15 pm,10h 00m,$534,2 stops,"0h 55m, 3h 40m","CPH, MUC","Kastrup Copenhagen, Munich Franz Josef Strauss",Momondo
KLM,7:00 am , 3:55 pm,9h 55m,$524,2 stops,"0h 55m, 2h 30m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Air France,6:20 am , 8:20 pm,15h 00m,$364,2 stops,"6h 25m, 2h 00m","CDG, MAD","Paris Charles de Gaulle, Madrid Barajas",Momondo
Lufthansa,6:10 am , 6:20 pm,13h 10m,$453,2 stops,"1h 15m, 6h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,6:40 am , 3:15 pm,9h 35m,$548,1 stop,4h 50m,FRA,Frankfurt am Main,Momondo
Air Europa,7:00 am , 8:20 pm,14h 20m,$419,2 stops,"2h 25m, 5h 20m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Air Europa,7:00 am , 8:20 pm,14h 20m,$419,2 stops,"0h 55m, 6h 55m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Air Europa,7:00 am , 3:55 pm,9h 55m,$558,2 stops,"0h 55m, 2h 30m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Lufthansa,6:40 am , 8:15 pm,14h 35m,$412,2 stops,"5h 00m, 3h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
KLM,7:00 am , 4:15 pm,10h 15m,$523,2 stops,"1h 45m, 2h 55m","AMS, BCN","Amsterdam Schiphol, Barcelona-El Prat",Momondo
KLM,7:00 am , 6:25 pm,12h 25m,$460,2 stops,"0h 55m, 5h 00m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Lufthansa,6:40 am , 1:00 pm,7h 20m,$630,2 stops,"1h 00m, 0h 40m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
Lufthansa,7:00 am , 6:20 pm,12h 20m,$511,2 stops,"2h 05m, 5h 00m","CPH, FRA","Kastrup Copenhagen, Frankfurt am Main",Momondo
Brussels Airlines,6:40 am , 4:30 pm,10h 50m,$531,2 stops,"3h 15m, 1h 50m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$531,2 stops,"3h 15m, 2h 35m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$531,2 stops,"0h 45m, 4h 50m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
Brussels Airlines,6:40 am , 5:10 pm,11h 30m,$531,2 stops,"1h 25m, 4h 25m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
"airBaltic, Wizz Air",9:00 am , 7:05 pm,11h 05m,$215,2 stops,"4h 05m, 1h 20m","RIX, WAW","Riga Intl, Warsaw Frederic Chopin",Momondo
"airBaltic, Wizz Air",9:00 am , 7:05 pm,10h 50m,$585,2 stops,NAN,"RIX, WAW",,Momondo
Air Europa,7:00 am , 6:25 pm,12h 25m,$558,2 stops,"2h 25m, 3h 25m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Momondo
Scandinavian Airlines,11:25 am , 7:25 pm,9h 00m,$677,2 stops,"1h 25m, 1h 40m","ARN, OSL","Stockholm Arlanda, Oslo Gardermoen",Momondo
Air France,6:20 am , 3:55 pm,10h 35m,$599,2 stops,"0h 50m, 3h 10m","CDG, MAD","Paris Charles de Gaulle, Madrid Barajas",Momondo
Lufthansa,7:00 am , 8:15 pm,14h 15m,$515,2 stops,"1h 10m, 7h 40m","CPH, MUC","Kastrup Copenhagen, Munich Franz Josef Strauss",Momondo
Lufthansa,6:40 am , 8:15 pm,14h 35m,$512,2 stops,"1h 00m, 7h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
Lufthansa,6:40 am , 8:15 pm,14h 35m,$512,2 stops,"2h 00m, 6h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
Lufthansa,6:40 am , 8:15 pm,14h 35m,$512,2 stops,"8h 00m, 0h 55m","FRA, MUC","Frankfurt am Main, Munich Franz Josef Strauss",Momondo
Norwegian,6:30 am , 6:45 pm,13h 15m,$542,2 stops,"2h 35m, 1h 20m","SPU, ARN","Split, Stockholm Arlanda",Momondo
British Airways,8:00 am , 5:05 pm,10h 05m,$663,2 stops,"1h 40m, 1h 25m","LHR, MAD","London Heathrow, Madrid Barajas",Momondo
Iberia,4:40 pm , 11:59 pm,8h 19m,$737,1 stop,2h 35m,MAD,Madrid Barajas,Momondo
Brussels Airlines,6:40 am , 4:30 pm,10h 50m,$616,2 stops,"1h 25m, 3h 40m","FRA, BRU","Frankfurt am Main, Brussels Bruxelles-National",Momondo
Lufthansa,6:10 am , 6:20 pm,13h 10m,$573,2 stops,"3h 15m, 4h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,6:10 am , 3:15 pm,10h 05m,$641,2 stops,"2h 15m, 2h 05m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,6:10 am , 3:15 pm,10h 05m,$649,2 stops,"1h 15m, 3h 05m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
Lufthansa,7:00 am , 8:15 pm,14h 15m,$562,2 stops,"5h 10m, 3h 40m","CPH, MUC","Kastrup Copenhagen, Munich Franz Josef Strauss",Momondo
Scandinavian Airlines,11:15 am , 8:40 pm,10h 25m,$684,2 stops,"2h 20m, 2h 20m","CPH, GOT","Kastrup Copenhagen, Gothenburg Landvetter",Momondo
Lufthansa,6:10 am , 3:15 pm,10h 05m,$665,2 stops,"3h 15m, 1h 05m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Momondo
