Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,Website
"Air Europa, operated by KLM",13:55,20:20,31h 25m,$417.50,2 stops,['3h 20m'],['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",12:50,17:30,29h 40m,$436.15,2 stops,"['20h 50m', '2h 45m']",['MUC'],['Munich International Airport'],Booking
"Lufthansa, operated by Lufth Cityline",06:10,13:55,8h 45m,"$1,222.61",1 stop,['3h 55m'],['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",06:10,08:50,27h 40m,$466.88,2 stops,"['7h 45m', '13h 50m']",['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",06:10,08:50,27h 40m,$466.88,2 stops,"['3h 55m', '17h 50m']",['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",12:50,08:50,21h 00m,$583.68,2 stops,"['7h 45m', '13h 50m']",['MUC'],['Munich International Airport'],Booking
"Austrian Airlines, operated by Lufthansa Cityline For Lufthansa",12:50,11:50,48h 00m,$315.98,2 stops,"['18h 15m', '23h 35m']",['MUC'],['Munich International Airport'],Booking
Lufthansa,19:40,15:15,20h 35m,$597.71,2 stops,"['3h 55m', '17h 50m']",['MUC'],['Munich International Airport'],Booking
"Lufthansa, operated by Lufth Cityline",06:10,14:15,9h 05m,"$1,222.61",1 stop,"['18h 15m', '23h 35m']",['MUC'],['Munich International Airport'],Booking
"Lufthansa, operated by Lufth Cityline",12:50,18:55,7h 05m,"$1,333.36",2 stops,['1h 05m'],"['MUC', 'ZRH']","['Munich International Airport', 'Zurich Airport']",Booking
"Lufthansa, operated by Lufth Cityline",06:10,14:20,9h 10m,"$1,222.61",1 stop,['4h 20m'],['MUC'],['Munich International Airport'],Booking
Air France,06:20,15:55,10h 35m,$994.90,2 stops,['3h 10m'],"['CDG', 'MAD']","['Paris Charles De Gaulle Apt', 'Madrid Barajas Apt']",Booking
"Air Europa, operated by KLM",13:55,23:05,34h 10m,$413.80,2 stops,['4h 20m'],['MUC'],['Munich International Airport'],Booking
"Air Europa, operated by KLM",13:55,23:05,34h 10m,$413.80,2 stops,['3h 10m'],"['CDG', 'MAD']","['Paris Charles De Gaulle Apt', 'Madrid Barajas Apt']",Booking
"Air Europa, operated by KLM",13:55,23:05,34h 10m,$413.80,2 stops,"['18h 20m', '9h 30m']",['MAD'],['Madrid Barajas Apt'],Booking
"SAS, operated by Regional Jet",11:25,19:20,8h 55m,"$1,155.13",2 stops,"['1h 30m', '1h 40m']","['ARN', 'ZRH']","['Stockholm Arlanda Apt', 'Zurich Airport']",Booking
Air France,06:20,23:05,17h 45m,$690.29,2 stops,['10h 20m'],"['CDG', 'MAD']","['Paris Charles De Gaulle Apt', 'Madrid Barajas Apt']",Booking
