Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
"Finnair, British Airways",4:00 pm ," 8:55 am
+1",18h 55m,$208,1 stop,13h 25m,LHR,London Heathrow,Kayak
Lufthansa,7:40 pm ," 10:55 am
+1",17h 15m,$234,1 stop,12h 30m,MUC,Munich Franz Josef Strauss,Kayak
Austrian Airlines,7:00 am , 7:10 pm,13h 10m,$380,2 stops,"2h 10m, 5h 15m","CPH, VIE","Kastrup Copenhagen, Vienna Intl",Kayak
Multiple airlines,11:20 pm ," 1:55 pm
+1",16h 35m,$194,3 stops,"7h 10m, 1h 00m, 1h 30m","opi, FCO, BCN","Airport change WMI-WAW, Rome Fiumicino, Barcelona-El Prat",Kayak
"Finnair, Vueling",5:55 pm ," 8:05 am
+1",16h 10m,$246,2 stops,"2h 55m, 7h 45m","CPH, BCN","Kastrup Copenhagen, Barcelona-El Prat",Kayak
"Ryanair, Iberia Express",11:20 pm ," 12:50 pm
+1",15h 30m,$241,2 stops,"6h 55m, 1h 35m","WMI, MAD","Warsaw Modlin, Madrid Barajas",Kayak
"Ryanair, Lufthansa",11:20 pm ," 10:55 am
+1",13h 35m,$275,2 stops,"7h 00m, 1h 05m","WMI-WAW, MUC","Airport change WMI-WAW, Munich Franz Josef Strauss",Kayak
"Ryanair, Iberia",10:50 pm ," 12:50 pm
+1",16h 00m,$232,2 stops,"7h 10m, 1h 55m","STN, MAD","London Stansted, Madrid Barajas",Kayak
"Ryanair, Iberia",11:20 pm ," 12:50 pm
+1",15h 30m,$247,2 stops,"6h 55m, 1h 35m","WMI, MAD","Warsaw Modlin, Madrid Barajas",Kayak
Air Europa,7:00 am , 6:25 pm,12h 25m,$419,2 stops,"0h 55m, 5h 00m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"4h 15m, 3h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Kayak
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"6h 15m, 1h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Kayak
Lufthansa,6:10 am , 6:20 pm,13h 10m,$400,2 stops,"2h 15m, 5h 15m","MUC, FRA","Munich Franz Josef Strauss, Frankfurt am Main",Kayak
Ryanair,10:50 pm ," 4:50 pm
+1",20h 00m,$118,2 stops,"10h 15m, 2h 25m","STN, AGP","London Stansted, Malaga",Kayak
"Ryanair, easyJet",10:50 pm ," 1:25 pm
+1",16h 35m,$226,2 stops,"7h 30m, 1h 35m","STN, BER","London Stansted, Berlin Brandenburg",Kayak
Multiple airlines,11:20 pm ," 1:15 pm
+1",15h 55m,$255,2 stops,"8h 30m, 1h 20m","WMI-WAW, DUS","Airport change WMI-WAW, Duesseldorf Intl",Kayak
Lufthansa,11:25 am , 8:15 pm,9h 50m,$528,2 stops,"3h 25m, 0h 45m","ARN, MUC","Stockholm Arlanda, Munich Franz Josef Strauss",Kayak
British Airways,4:00 pm ," 8:55 am
+1",18h 55m,$262,1 stop,13h 25m,LHR,London Heathrow,Kayak
"Finnair, Iberia",4:40 pm ," 8:35 am
+1",17h 55m,$294,1 stop,12h 05m,MAD,Madrid Barajas,Kayak
Lufthansa,11:15 am , 8:15 pm,10h 00m,$534,2 stops,"0h 55m, 3h 40m","CPH, MUC","Kastrup Copenhagen, Munich Franz Josef Strauss",Kayak
"Finnair, Austrian Airlines",5:10 pm ," 8:50 am
+1",17h 40m,$251,1 stop,12h 55m,VIE,Vienna Intl,Kayak
"Ryanair, Air Europa",10:50 pm ," 6:05 pm
+1",21h 15m,$122,2 stops,"7h 55m, 6h 50m","STN, ALC","London Stansted, Alicante",Kayak
Lufthansa,6:40 am , 3:15 pm,9h 35m,$540,1 stop,4h 50m,FRA,Frankfurt am Main,Kayak
KLM,7:00 am , 3:55 pm,9h 55m,$524,2 stops,"0h 55m, 2h 30m","AMS, MAD","Amsterdam Schiphol, Madrid Barajas",Kayak
